Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,1,Petrol
1,Mahindra Jeep CL550,Mahindra,2006,425000,1,Diesel
2,Hyundai Grand i10,Hyundai,2014,325000,1,Petrol
3,Ford EcoSport Titanium,Ford,2014,575000,1,Diesel
4,Ford Figo,Ford,2012,175000,1,Diesel
5,Hyundai Eon,Hyundai,2013,190000,1,Petrol
6,Ford EcoSport Ambiente,Ford,2016,830000,1,Diesel
7,Maruti Suzuki Alto,Maruti,2015,250000,1,Petrol
8,Skoda Fabia Classic,Skoda,2010,182000,1,Petrol
9,Maruti Suzuki Stingray,Maruti,2015,315000,1,Petrol
10,Hyundai Elite i20,Hyundai,2014,415000,1,Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,320000,1,Diesel
12,Hyundai Santro Xing,Hyundai,2007,80000,1,Petrol
13,Mahindra Jeep CL550,Mahindra,2006,425000,1,Diesel
14,Audi A8,Audi,2017,1000000,1,Petrol
15,Audi Q7,Audi,2014,500000,1,Diesel
16,Mahindra Scorpio S10,Mahindra,2016,350000,1,Diesel
17,Maruti Suzuki Alto,Maruti,2014,160000,1,Petrol
18,Mahindra Scorpio S10,Mahindra,2016,350000,1,Diesel
19,Mahindra Scorpio S10,Mahindra,2016,310000,1,Diesel
20,Maruti Suzuki Alto,Maruti,2015,75000,1,Petrol
21,Hyundai i20 Sportz,Hyundai,2012,100000,1,Petrol
22,Hyundai i20 Sportz,Hyundai,2012,100000,1,Petrol
23,Hyundai i20 Sportz,Hyundai,2012,100000,1,Petrol
24,Maruti Suzuki Alto,Maruti,2017,190000,1,Petrol
25,Maruti Suzuki Vitara,Maruti,2016,290000,1,Diesel
26,Maruti Suzuki Alto,Maruti,2008,95000,1,Petrol
27,Mahindra Bolero DI,Mahindra,2017,180000,1,Diesel
28,Maruti Suzuki Swift,Maruti,2014,385000,1,Diesel
29,Mahindra Scorpio S10,Mahindra,2015,250000,1,Diesel
30,Maruti Suzuki Swift,Maruti,2017,180000,1,Petrol
31,Maruti Suzuki Wagon,Maruti,2013,105000,1,Petrol
32,Maruti Suzuki Wagon,Maruti,2013,105000,1,Petrol
33,Toyota Innova 2.0,Toyota,2012,650000,1,Diesel
34,Renault Lodgy 85,Renault,2018,689999,1,Diesel
35,Skoda Yeti Ambition,Skoda,2012,448000,1,Diesel
36,Maruti Suzuki Baleno,Maruti,2017,549000,1,Diesel
37,Renault Duster 110,Renault,2012,501000,1,Diesel
38,Renault Duster 85,Renault,2013,489999,1,Diesel
39,Honda City 1.5,Honda,2011,280000,1,Petrol
40,Maruti Suzuki Alto,Maruti,2015,250000,1,Petrol
41,Maruti Suzuki Dzire,Maruti,2013,349999,1,Diesel
42,Honda Amaze,Honda,2013,284999,1,Diesel
43,Honda Amaze 1.5,Honda,2015,345000,1,Diesel
44,Honda City,Honda,2015,499999,1,Petrol
45,Datsun Redi GO,Datsun,2017,235000,1,Petrol
46,Maruti Suzuki SX4,Maruti,2010,249999,1,Petrol
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,1,Diesel
48,Mahindra Bolero DI,Mahindra,2017,180000,1,Diesel
49,Maruti Suzuki Swift,Maruti,2014,385000,1,Diesel
50,Mahindra Scorpio S10,Mahindra,2015,250000,1,Diesel
51,Maruti Suzuki Swift,Maruti,2017,180000,1,Petrol
52,Maruti Suzuki Wagon,Maruti,2013,105000,1,Petrol
53,Maruti Suzuki Wagon,Maruti,2013,105000,1,Petrol
54,Mahindra Scorpio S10,Mahindra,2015,395000,1,Diesel
55,Maruti Suzuki Swift,Maruti,2017,220000,1,Petrol
56,Honda City ZX,Honda,2017,170000,1,Diesel
57,Maruti Suzuki Wagon,Maruti,2013,85000,1,Petrol
58,Ford Figo,Ford,2012,175000,1,Diesel
59,Hyundai Eon,Hyundai,2013,190000,1,Petrol
60,Tata Indigo eCS,Tata,2017,200000,1,Diesel
61,Ford EcoSport Ambiente,Ford,2016,830000,1,Diesel
62,Tata Indigo eCS,Tata,2017,200000,1,Diesel
63,Mahindra Scorpio SLE,Mahindra,2012,570000,1,Diesel
64,Volkswagen Polo Highline,Volkswagen,2014,315000,1,Petrol
65,Skoda Fabia Classic,Skoda,2010,182000,1,Petrol
66,Maruti Suzuki Stingray,Maruti,2015,315000,1,Petrol
67,Chevrolet Spark LS,Chevrolet,2010,110000,1,Petrol
68,Renault Duster 110PS,Renault,2012,501000,1,Diesel
69,Honda City,Honda,2015,448999,1,Petrol
70,Mini Cooper S,Mini,2013,1891111,1,Petrol
71,Datsun Redi GO,Datsun,2017,235000,1,Petrol
72,Skoda Fabia 1.2L,Skoda,2011,159500,1,Diesel
73,Honda Amaze,Honda,2015,344999,1,Petrol
74,Honda Amaze,Honda,2015,344999,1,Petrol
75,Renault Duster,Renault,2014,449999,1,Diesel
76,Mini Cooper S,Mini,2013,1891111,1,Petrol
77,Mahindra Scorpio S4,Mahindra,2015,865000,1,Diesel
78,Mahindra Scorpio VLX,Mahindra,2014,699000,1,Diesel
79,Mahindra Quanto C8,Mahindra,2013,375000,1,Diesel
80,Ford EcoSport,Ford,2017,489999,1,Petrol
81,Honda Brio,Honda,2012,224999,1,Petrol
82,Volkswagen Vento Highline,Volkswagen,2019,1200000,1,Diesel
83,Hyundai i20 Magna,Hyundai,2009,195000,1,Petrol
84,Toyota Corolla Altis,Toyota,2010,351000,1,Diesel
85,Hyundai Verna Transform,Hyundai,2008,160000,1,Petrol
86,Toyota Corolla Altis,Toyota,2009,240000,1,Petrol
87,Honda City 1.5,Honda,2005,90000,1,Petrol
88,Hyundai Elite i20,Hyundai,2014,415000,1,Petrol
89,Skoda Fabia 1.2L,Skoda,2011,155000,1,Diesel
90,BMW 3 Series,BMW,2011,600000,1,Petrol
91,Maruti Suzuki A,Maruti,2011,189500,1,Petrol
92,Toyota Etios GD,Toyota,2013,350000,1,Diesel
93,Ford Figo Diesel,Ford,2012,210000,1,Diesel
94,Maruti Suzuki Swift,Maruti,2014,390000,1,Petrol
95,Chevrolet Beat LT,Chevrolet,2012,135000,1,Diesel
96,BMW 7 Series,BMW,2009,1600000,1,Petrol
97,Mahindra XUV500 W8,Mahindra,2013,701000,1,Diesel
98,Hyundai i10 Magna,Hyundai,2014,265000,1,Petrol
99,Hyundai Verna Fluidic,Hyundai,2015,525000,1,Diesel
100,Maruti Suzuki Swift,Maruti,2013,372000,1,Petrol
101,Maruti Suzuki Ertiga,Maruti,2016,635000,1,Petrol
102,Ford EcoSport Titanium,Ford,2014,550000,1,Diesel
103,Maruti Suzuki Ertiga,Maruti,2016,575000,1,Petrol
104,Maruti Suzuki Ertiga,Maruti,2013,485000,1,Diesel
105,Maruti Suzuki Alto,Maruti,2012,155000,1,Petrol
106,Hyundai Grand i10,Hyundai,2014,345000,1,Diesel
107,Honda Amaze 1.2,Honda,2014,325000,1,Petrol
108,Hyundai i20 Asta,Hyundai,2012,329500,1,Diesel
109,Ford Figo Diesel,Ford,2014,195000,1,Diesel
110,Maruti Suzuki Eeco,Maruti,2015,251111,1,Petrol
111,Maruti Suzuki Ertiga,Maruti,2014,569999,1,Petrol
112,Maruti Suzuki Esteem,Maruti,2007,69999,1,Petrol
113,Maruti Suzuki Ritz,Maruti,2014,299999,1,Petrol
114,Maruti Suzuki Dzire,Maruti,2009,220000,1,Petrol
115,Maruti Suzuki Ritz,Maruti,2013,399999,1,Diesel
116,Maruti Suzuki Swift,Maruti,2013,372000,1,Petrol
117,Maruti Suzuki Dzire,Maruti,2015,450000,1,Diesel
118,Toyota Etios Liva,Toyota,2014,270000,1,Petrol
119,Hyundai i20 Sportz,Hyundai,2011,350000,1,Diesel
120,Chevrolet Spark,Chevrolet,2012,158400,1,Petrol
